year,quarter,market,city,state,cbd_suburban,building_name,building_id,address,leased_sf,company_name,internal_industry,transaction_type,internal_class,rba,available_space,overall_rent,leasing
2018,Q1,South Florida,Miami,FL,Suburban,12000 Biscayne,South Florida_NE Dade_Miami_12000 Biscayne_12000 Biscayne Blvd,12000 Biscayne Blvd,500,NA,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,Suburban,12000 Biscayne,South Florida_NE Dade_Miami_12000 Biscayne_12000 Biscayne Blvd,12000 Biscayne Blvd,768,NA,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,Suburban,12000 Biscayne,South Florida_NE Dade_Miami_12000 Biscayne_12000 Biscayne Blvd,12000 Biscayne Blvd,1417,NA,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,Suburban,12000 Biscayne,South Florida_NE Dade_Miami_12000 Biscayne_12000 Biscayne Blvd,12000 Biscayne Blvd,1490,NA,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,Suburban,1400 Building,South Florida_West Miami/Airport_Miami_1400 Building_1400 NW 107th Ave,1400 NW 107th Ave,12532,NA,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,CBD,1450 Brickell,South Florida_Brickell_Miami_1450 Brickell_1450 Brickell Ave,1450 Brickell Ave,1565,NA,NA,New,A,51568556,8778332,32.8268385375392,610763
2018,Q1,South Florida,Miami,FL,CBD,1450 Brickell,South Florida_Brickell_Miami_1450 Brickell_1450 Brickell Ave,1450 Brickell Ave,17151,NA,NA,New,A,51568556,8778332,32.8268385375392,610763
2018,Q1,South Florida,Miami,FL,CBD,155185 SE 13th St,South Florida_Brickell_Miami_155185 SE 13th St_1221 Brickell Ave,1221 Brickell Ave,1551,"Finantia Usa, Ltd",NA,New,A,51568556,8778332,32.8268385375392,610763
2018,Q1,South Florida,Miami,FL,CBD,155185 SE 13th St,South Florida_Brickell_Miami_155185 SE 13th St_1221 Brickell Ave,1221 Brickell Ave,1125,Kian Tech,NA,New,A,51568556,8778332,32.8268385375392,610763
2018,Q1,South Florida,Miami,FL,CBD,200 Building,South Florida_Downtown Miami_Miami_200 Building_200 SE 1st St,200 SE 1st St,2407,"Brodsky Fotiu-Wojtowicz, Pllc",NA,New,O,50893104,7819149,32.8268385375392,603367
