year,quarter,period,market,internal_class,rba,available_space,availability_proportion,overall_rent,direct_overall_rent,sublet_overall_rent,leasing
2018,Q1,2018-Q1,Atlanta,A,101140416,20239067,0.2001086,24.34568933,NA,NA,1205126
2018,Q1,2018-Q1,Atlanta,O,65810449,12728989,0.193418966,24.34568933,NA,NA,715742
2018,Q2,2018-Q2,Atlanta,A,103299677,21402315,0.207186659,26.0678751,NA,NA,1440017
2018,Q2,2018-Q2,Atlanta,O,65945176,12365457,0.187511168,26.0678751,NA,NA,792610
2018,Q3,2018-Q3,Atlanta,A,103659328,22206503,0.214225805,26.39333343,NA,NA,1929820
2018,Q3,2018-Q3,Atlanta,O,65945176,12669083,0.192115387,26.39333343,NA,NA,432794
2018,Q4,2018-Q4,Atlanta,A,103659328,20742293,0.200100593,26.48856673,NA,NA,1633800
2018,Q4,2018-Q4,Atlanta,O,66210064,11722491,0.177049987,26.48856673,NA,NA,733452
2019,Q1,2019-Q1,Atlanta,A,103783385,21115998,0.203462221,26.65220009,26.925077,22.546657,2284138
2019,Q1,2019-Q1,Atlanta,O,66290064,12085998,0.182319902,26.65220009,26.925077,22.546657,877328
2019,Q2,2019-Q2,Atlanta,A,103866928,20867317,0.200904344,26.90542572,27.272135,22.134262,1532604
2019,Q2,2019-Q2,Atlanta,O,66344064,11343275,0.170976487,26.90542572,27.272135,22.134262,687805
2019,Q3,2019-Q3,Atlanta,A,104066928,21963230,0.211049086,27.22176212,27.672249,21.688145,2073324
2019,Q3,2019-Q3,Atlanta,O,66344064,11485679,0.173122934,27.22176212,27.672249,21.688145,561818
2019,Q4,2019-Q4,Atlanta,A,104616341,21932460,0.209646598,28.16026584,28.601717,22.48904,1353639
2019,Q4,2019-Q4,Atlanta,O,66568064,11669773,0.175305879,28.16026584,28.601717,22.48904,1101666
2020,Q1,2020-Q1,Atlanta,A,105577953,22541307,0.213503922,28.740175,29.233707,22.945356,1124586
2020,Q1,2020-Q1,Atlanta,O,66616172,11972266,0.179720114,28.740175,29.233707,22.945356,608542
2020,Q2,2020-Q2,Atlanta,A,105970093,24393623,0.230193466,29.39986839,29.87513,23.70642,1262757
2020,Q2,2020-Q2,Atlanta,O,66338381,11763900,0.177331732,29.39986839,29.87513,23.70642,353885
2020,Q3,2020-Q3,Atlanta,A,105601115,25731843,0.243670183,29.32170158,29.799232,24.266869,1122660
2020,Q3,2020-Q3,Atlanta,O,65854383,13318990,0.202249105,29.32170158,29.799232,24.266869,280811
