Business ID,Fiscal Year,Department,Support Program,Race or Ethnicity of Recipient,Zipcode,New Georeferenced Column
V00000974730,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,2050,
V00000911183,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,76185,
V00000964211,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78627,
1254,2020,Economic Development (EDD),Small Business Education & Coaching,,,
VC0000102282,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78714,
PIA8322157,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78766,
3856,2022,Economic Development,Education & Coaching,Asian,10001,POINT (-73.996575 40.750166)
1934,2021,Economic Development (EDD),Education & Coaching,Asian,201310,
3236,2022,Economic Development,Public Art & Placemaking,Black or African American,,
1209,2019,Economic Development (EDD),Small Business Education & Coaching,,78705,POINT (-97.737978 30.292467)
3443,2022,Economic Development,Education & Coaching,White,78747,POINT (-97.757228 30.133523)
2264,2021,Economic Development (EDD),Small Business Development,White,78737,POINT (-97.964749 30.193369)
V00000938299,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78720,
2258,2020,Economic Development (EDD),Small Business Education & Coaching,,,
318,2020,Economic Development (EDD),Cultural Arts Grantmaking,,,
COD8314790,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78746,POINT (-97.81146 30.33179)
ROD8321224,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78729,POINT (-97.78254 30.45414)
WAY5080500,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Asian,78759,POINT (-97.73994 30.39329)
VS0000010052,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78763,
V00000928849,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78729,POINT (-97.78254 30.45414)
V00000972076,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78754,POINT (-97.66154 30.36059)
V00000954601,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,76102,POINT (-97.33086 32.75095)
V00000949911,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78613,POINT (-97.82096 30.50682)
V00000950329,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78717,POINT (-97.76671 30.48659)
MEL8302760,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78719,POINT (-97.6909 30.16148)
LIM7079715,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78702,POINT (-97.70011 30.25848)
V00000958076,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Asian,78665,POINT (-97.61614 30.55498)
V00000959028,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78748,POINT (-97.79775 30.16375)
V00000960416,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78748,POINT (-97.79775 30.16375)
V00000957053,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78613,POINT (-97.82096 30.50682)
V00000968066,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Asian,78728,POINT (-97.68488 30.4724)
HON8313620,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78660,POINT (-97.61994 30.44056)
V00000946068,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78641,POINT (-97.85322 30.57955)
