State,Places,Indoor,Outdoor,Total Courts,state
Alabama,98,152,258,410,AL
Alaska,38,99,70,169,AK
Arizona,291,222,1441,1663,AZ
Arkansas,80,174,162,336,AR
California,741,709,2880,3589,CA
Colorado,247,451,641,1092,CO
Connecticut,135,250,277,527,CT
Delaware,32,61,101,162,DE
District of Columbia,38,50,68,118,DC
Florida,622,646,2208,2854,FL
Georgia,291,450,860,1310,GA
Guam,1,0,1,1,GU
Hawaii,84,63,215,278,HI
Idaho,108,200,251,451,ID
Illinois,389,834,844,1678,IL
Indiana,242,585,453,1038,IN
Iowa,153,252,309,561,IA
Kansas,101,260,163,423,KS
Kentucky,104,175,204,379,KY
Louisiana,85,171,116,287,LA
Maine,117,225,159,384,ME
Maryland,170,367,273,640,MD
Massachusetts,273,566,618,1184,MA
Michigan,385,759,866,1625,MI
Minnesota,227,484,587,1071,MN
Mississippi,52,66,97,163,MS
Missouri,267,512,382,894,MO
Montana,52,70,143,213,MT
Nebraska,61,120,98,218,NE
Nevada,84,93,325,418,NV
New Hampshire,45,56,145,201,NH
New Jersey,211,396,555,951,NJ
New Mexico,75,137,177,314,NM
New York,404,698,758,1456,NY
North Carolina,432,731,804,1535,NC
North Dakota,20,47,24,71,ND
Northern Mariana Islands,3,0,11,11,NMI
Ohio,397,748,869,1617,OH
Oklahoma,102,235,131,366,OK
Oregan,161,246,489,735,OR
Pennsylvania,358,565,704,1269,PA
Puerto Rico,12,0,36,36,PR
Rhode Island,32,26,87,113,RI
South Carolina,184,265,514,779,SC
South Dakota,41,76,68,144,SD
Tennessee,152,307,309,616,TN
Texas,522,949,1132,2081,TX
Utah,152,230,524,754,UT
Vermont,68,63,163,226,VT
Virgin Islands,1,0,4,4,VI
Virginia,339,567,647,1214,VA
Washington,261,440,571,1011,WA
West Virginia,45,74,102,176,WV
Wisconsin,255,491,572,1063,WI
Wyoming,34,71,81,152,WY
