series,period,forecast
georgia_unemployment,1,3.587034006288629
georgia_unemployment,2,3.587034006288629
georgia_unemployment,3,3.587034006288629
georgia_unemployment,4,3.587034006288629
georgia_unemployment,5,3.587034006288629
georgia_unemployment,6,3.587034006288629
georgia_unemployment,7,3.587034006288629
georgia_unemployment,8,3.587034006288629
georgia_unemployment,9,3.587034006288629
georgia_unemployment,10,3.587034006288629
georgia_unemployment,11,3.587034006288629
georgia_unemployment,12,3.587034006288629
georgia_unemployment,13,3.587034006288629
georgia_unemployment,14,3.587034006288629
georgia_unemployment,15,3.587034006288629
georgia_unemployment,16,3.587034006288629
georgia_unemployment,17,3.587034006288629
georgia_unemployment,18,3.587034006288629
georgia_unemployment,19,3.587034006288629
georgia_unemployment,20,3.587034006288629
georgia_unemployment,21,3.587034006288629
georgia_unemployment,22,3.587034006288629
georgia_unemployment,23,3.587034006288629
georgia_unemployment,24,3.587034006288629
california_unemployment,1,5.482054467925592
california_unemployment,2,5.487930679229649
california_unemployment,3,5.487930679229649
california_unemployment,4,5.487930679229649
california_unemployment,5,5.487930679229649
california_unemployment,6,5.487930679229649
california_unemployment,7,5.487930679229649
california_unemployment,8,5.487930679229649
california_unemployment,9,5.487930679229649
california_unemployment,10,5.487930679229649
california_unemployment,11,5.487930679229649
california_unemployment,12,5.487930679229649
california_unemployment,13,5.487930679229649
california_unemployment,14,5.487930679229649
california_unemployment,15,5.487930679229649
california_unemployment,16,5.487930679229649
california_unemployment,17,5.487930679229649
california_unemployment,18,5.487930679229649
california_unemployment,19,5.487930679229649
california_unemployment,20,5.487930679229649
california_unemployment,21,5.487930679229649
california_unemployment,22,5.487930679229649
california_unemployment,23,5.487930679229649
california_unemployment,24,5.487930679229649
candidate_states_unemployment,1,3.94
candidate_states_unemployment,2,3.94
candidate_states_unemployment,3,3.94
candidate_states_unemployment,4,3.94
candidate_states_unemployment,5,3.94
candidate_states_unemployment,6,3.94
candidate_states_unemployment,7,3.94
candidate_states_unemployment,8,3.94
candidate_states_unemployment,9,3.94
candidate_states_unemployment,10,3.94
candidate_states_unemployment,11,3.94
candidate_states_unemployment,12,3.94
candidate_states_unemployment,13,3.94
candidate_states_unemployment,14,3.94
candidate_states_unemployment,15,3.94
candidate_states_unemployment,16,3.94
candidate_states_unemployment,17,3.94
candidate_states_unemployment,18,3.94
candidate_states_unemployment,19,3.94
candidate_states_unemployment,20,3.94
candidate_states_unemployment,21,3.94
candidate_states_unemployment,22,3.94
candidate_states_unemployment,23,3.94
candidate_states_unemployment,24,3.94
georgia_rent,1,33.185715210000296
georgia_rent,2,33.5014304200006
georgia_rent,3,33.81714563000091
georgia_rent,4,34.13286084000121
georgia_rent,5,34.44857605000151
georgia_rent,6,34.76429126000181
georgia_rent,7,35.08000647000212
georgia_rent,8,35.395721680002424
california_rent,1,52.60666666666667
california_rent,2,52.60666666666667
california_rent,3,52.60666666666667
california_rent,4,52.60666666666667
california_rent,5,52.60666666666667
california_rent,6,52.60666666666667
california_rent,7,52.60666666666667
california_rent,8,52.60666666666667
candidate_states_rent,1,36.34887569877773
candidate_states_rent,2,36.65775139755546
candidate_states_rent,3,36.96662709633319
candidate_states_rent,4,37.275502795110924
candidate_states_rent,5,37.58437849388866
candidate_states_rent,6,37.89325419266639
candidate_states_rent,7,38.20212989144412
candidate_states_rent,8,38.511005590221856
